YEAR,ARAGON,BELMIRA,LA_OCULTA,LA_PLACITA
1990,1684.8,1700.2,2102.6,1977
1991,1666.6,1565,2051,1750
1992,1475.5,1530,1816.2,1678
1993,1942.8,2154,2534.1,2177
1994,2684.2,2087,2555,1715
1995,1915.3,2362,2632,2226.3
1996,2220,2612,2395,2641
1997,1256.8,1504.4,1603.5,1862.5
1998,2197.1,2076,2889.5,2674.5
1999,2159.1,2649,2608,2209
2000,1980.4,2011,2282,2407
2001,1687.7,1881,2413.5,2058
2002,1644.8,1893,2093,2078.1
2003,1731.8,2141.4,2363.4,2322.5
2004,1566.1,2030,2305,2095.9
2005,1666.4,2116,1959,2285
2006,2195.6,2333.7,2518,1897
2007,2152.5,2176.9,2597,2910
2008,2241.5,2387.6,2799,3150.8
2009,1749.4,1636.7,2215,1617
2010,2370,2329,2763,2633
2011,2717.7,2358.6,2670,2874
2012,1815.2,1593.9,1951.1,1501
2013,1806.3,1810.2,1917,1758
2014,1825.5,1882.4,2086,1616.6
2015,1728.5,1602.2,1521,1378.2
2016,1241.6,1947.9,2093,1720
2017,1241.6,2139.4,2357,1950.7
2018,1241.6,2229.5,2413,1686.2
2019,1915.3,1913,2101,820
2020,1915.3,1815,1693,1531.2
2021,1256.8,2848.7,2603,1967.1
2022,2197.1,2637.7,2565,1764
2023,2159.1,2649,2608,2209
2024,1980.4,2011,2282,2407
2025,1687.7,1881,2413.5,2058
2026,1644.8,1893,2093,2078.1
2027,1731.8,2141.4,2363.4,2322.5
2028,1566.1,2030,2305,2095.9
2029,1666.4,2116,1959,2285
2030,2195.6,2333.7,2518,1897
2031,2152.5,2176.9,2597,2910
2032,2241.5,2387.6,2799,3150.8
2033,1749.4,1636.7,2215,1617
2034,2370,2329,2763,2633
2035,2717.7,2358.6,2670,2874
2036,1815.2,1593.9,1951.1,1501
2037,1806.3,1810.2,1917,1758
2038,1825.5,1882.4,2086,1616.6
2039,1728.5,1602.2,1521,1378.2
2040,1241.6,1947.9,2093,1720
2041,1241.6,2139.4,2357,1950.7
2042,1241.6,2229.5,2413,1686.2
2043,1915.3,1913,2101,820
2044,1915.3,1815,1693,1531.2
2045,1256.8,2848.7,2603,1967.1
2046,2197.1,2637.7,2565,1764
2047,2159.1,2649,2608,2209
2048,1980.4,2011,2282,2407
2049,1687.7,1881,2413.5,2058
2050,1644.8,1893,2093,2078.1
